:START_ID,:END_ID,:TYPE
s1,pa1,identifies
s1,pa1,identifies
s1,pa1,identifies
s1,pa1,identifies
s1,pa1,identifies
s2,pa3,identifies
s3,pa4,identifies
s5,pa5,identifies
s5,pa5,identifies
s5,pa5,identifies
s5,pa5,identifies
s5,pa5,identifies
s5,pa5,identifies
s6,pa6,identifies
s6,pa6,identifies
s6,pa6,identifies
s7,pa7,identifies
s7,pa7,identifies
s8,pa7,identifies
s10,pa9,identifies
s8,pa7,identifies
s7,pa7,identifies
s12,pa10,identifies
s12,pa10,identifies
s12,pa10,identifies
s12,pa10,identifies
s13,pa10,identifies
s14,pa11,identifies
s14,pa11,identifies
s14,pa11,identifies
s14,pa11,identifies
s14,pa11,identifies
s14,pa11,identifies
s14,pa11,identifies
s16,pa12,identifies
s16,pa12,identifies
s16,pa12,identifies
s17,pa13,identifies
s16,pa12,identifies
s18,pa14,identifies
e180,pa14,identifies
s1,pa1,identifies
s19,pa14,identifies
s19,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s21,pa14,identifies
s1,pa1,identifies
s21,pa14,identifies
s21,pa14,identifies
e233,pa14,identifies
s1,pa1,identifies
s22,pa18,identifies
s23,pa19,identifies
s24,pa23,identifies
